timestamp,pain_phase,dominant_pain_group,next_likely_pain_group,guidance
1762400700,exit_pain,call_sellers,put_buyers,caution
1762503960,exit_pain,put_sellers,none,observe
1762504320,exit_pain,put_sellers,none,observe
1762746600,exit_pain,put_sellers,none,observe
1762834620,exit_pain,put_sellers,none,observe
1762849560,exit_pain,put_sellers,call_buyers,caution
1763006100,exit_pain,call_sellers,put_buyers,caution
1763437560,exit_pain,put_sellers,put_buyers,caution
1763437620,exit_pain,put_sellers,none,observe
1763697000,exit_pain,call_sellers,none,observe
1763697180,exit_pain,call_sellers,none,observe
1764042420,exit_pain,put_sellers,put_buyers,caution
1764042480,exit_pain,put_sellers,put_buyers,caution
1764042540,exit_pain,put_sellers,none,observe
1765260660,exit_pain,put_sellers,none,observe
1765260720,exit_pain,put_sellers,none,observe
1765357200,exit_pain,call_sellers,put_buyers,caution
1765426560,exit_pain,call_sellers,put_buyers,caution
1765944600,exit_pain,put_sellers,none,observe
1765962900,exit_pain,call_sellers,none,observe
1765963080,exit_pain,call_sellers,put_buyers,caution
1766029800,exit_pain,call_sellers,none,observe
1766029860,exit_pain,call_sellers,none,observe
1766048400,exit_pain,call_sellers,none,observe
1766390700,exit_pain,put_sellers,call_buyers,caution
1766461800,exit_pain,put_sellers,none,observe
1766461920,exit_pain,put_sellers,call_buyers,caution
1766741100,exit_pain,call_sellers,put_buyers,caution
1766741340,exit_pain,call_sellers,put_buyers,caution
1766980260,exit_pain,call_sellers,put_buyers,caution
1766998320,exit_pain,call_sellers,none,observe
1767241500,exit_pain,put_sellers,none,observe
1767241560,exit_pain,put_sellers,call_buyers,caution
1767757800,exit_pain,call_sellers,none,observe
1767759900,exit_pain,call_sellers,put_buyers,caution
1767862620,exit_pain,put_sellers,none,observe
1767931860,exit_pain,call_sellers,put_buyers,caution
1768190460,exit_pain,call_sellers,call_buyers,caution
1768190520,exit_pain,call_sellers,none,observe
1768276500,exit_pain,put_sellers,call_buyers,caution
1768276680,exit_pain,put_sellers,call_buyers,caution
1768296900,exit_pain,call_sellers,put_buyers,caution
1768812000,exit_pain,put_sellers,call_buyers,caution
1769140260,exit_pain,call_sellers,put_buyers,caution
1769158500,exit_pain,call_sellers,put_buyers,caution
1769486400,exit_pain,call_sellers,none,observe
1769486520,exit_pain,call_sellers,none,observe
1769486640,exit_pain,call_sellers,none,observe
1769746140,exit_pain,call_sellers,call_buyers,caution
1770004440,exit_pain,call_sellers,none,observe
1770106200,exit_pain,call_sellers,put_buyers,caution
1770177060,exit_pain,call_sellers,none,observe
