timestamp,pain_phase,dominant_pain_group,next_likely_pain_group,guidance
1754538600,exit_pain,none,none,wait
1754538720,exit_pain,put_sellers,call_buyers,caution
1754556900,exit_pain,none,none,wait
1754557140,exit_pain,call_sellers,put_buyers,caution
1754624700,exit_pain,call_sellers,call_buyers,caution
1754624760,exit_pain,none,none,wait
1754624940,exit_pain,call_sellers,call_buyers,caution
1755676260,exit_pain,none,none,wait
1755676440,exit_pain,put_sellers,put_buyers,caution
1755764220,exit_pain,call_sellers,put_buyers,caution
1756370460,exit_pain,none,none,wait
1756439400,exit_pain,none,none,wait
1756976520,exit_pain,none,none,wait
1757048100,exit_pain,none,none,wait
1757048340,exit_pain,call_sellers,call_buyers,caution
1757303460,exit_pain,none,none,wait
1758513060,exit_pain,call_sellers,put_buyers,caution
1758532920,exit_pain,none,none,wait
1758772260,exit_pain,call_sellers,put_buyers,caution
1759895400,exit_pain,call_sellers,put_buyers,caution
1759999200,exit_pain,none,none,wait
1760083080,exit_pain,put_sellers,put_buyers,caution
1761191400,exit_pain,none,none,wait
1762400700,exit_pain,call_sellers,put_buyers,caution
1762503960,exit_pain,none,none,wait
1762504320,exit_pain,none,none,wait
1762746600,exit_pain,none,none,wait
1762834620,exit_pain,none,none,wait
1762835100,exit_pain,call_sellers,put_buyers,caution
1762849560,exit_pain,put_sellers,call_buyers,caution
1763006100,exit_pain,call_sellers,put_buyers,caution
1763437560,exit_pain,put_sellers,put_buyers,caution
1763437620,exit_pain,none,none,wait
1763697000,exit_pain,none,none,wait
1763697180,exit_pain,none,none,wait
1764042420,exit_pain,put_sellers,put_buyers,caution
1764042480,exit_pain,put_sellers,put_buyers,caution
1764042540,exit_pain,none,none,wait
1764751020,exit_pain,none,none,wait
1765260660,exit_pain,none,none,wait
1765260720,exit_pain,none,none,wait
1765357200,exit_pain,call_sellers,put_buyers,caution
1765425000,exit_pain,call_sellers,put_buyers,caution
1765426560,exit_pain,call_sellers,put_buyers,caution
1765511820,exit_pain,call_sellers,put_buyers,caution
1765944600,exit_pain,none,none,wait
1765962900,exit_pain,none,none,wait
1765963080,exit_pain,call_sellers,put_buyers,caution
1766029800,exit_pain,none,none,wait
1766029860,exit_pain,none,none,wait
1766029920,exit_pain,call_sellers,put_buyers,caution
1766048400,exit_pain,none,none,wait
1766048460,exit_pain,none,none,wait
1766048640,exit_pain,call_sellers,call_buyers,caution
1766390700,exit_pain,put_sellers,call_buyers,caution
1766461800,exit_pain,none,none,wait
1766461920,exit_pain,put_sellers,call_buyers,caution
1766462040,exit_pain,put_sellers,call_buyers,caution
1766741100,exit_pain,call_sellers,put_buyers,caution
1766741340,exit_pain,call_sellers,put_buyers,caution
1766980260,exit_pain,call_sellers,put_buyers,caution
1766998200,exit_pain,call_sellers,put_buyers,caution
1766998320,exit_pain,none,none,wait
1767240300,exit_pain,none,none,wait
1767240420,exit_pain,none,none,wait
1767240540,exit_pain,put_sellers,put_buyers,caution
1767241500,exit_pain,none,none,wait
1767241560,exit_pain,put_sellers,call_buyers,caution
1767757800,exit_pain,none,none,wait
1767759900,exit_pain,call_sellers,put_buyers,caution
1767862560,exit_pain,none,none,wait
1767862620,exit_pain,none,none,wait
1767862680,exit_pain,put_sellers,call_buyers,caution
1767862740,exit_pain,none,none,wait
1767931860,exit_pain,call_sellers,put_buyers,caution
1768190460,exit_pain,call_sellers,call_buyers,caution
1768190520,exit_pain,none,none,wait
1768276500,exit_pain,put_sellers,call_buyers,caution
1768276680,exit_pain,put_sellers,call_buyers,caution
1768278720,exit_pain,call_sellers,put_buyers,caution
1768296900,exit_pain,call_sellers,put_buyers,caution
1768812000,exit_pain,put_sellers,call_buyers,caution
1769140260,exit_pain,call_sellers,put_buyers,caution
1769158500,exit_pain,call_sellers,put_buyers,caution
1769486400,exit_pain,none,none,wait
1769486460,exit_pain,call_sellers,put_buyers,caution
1769486520,exit_pain,none,none,wait
1769486640,exit_pain,none,none,wait
1769745960,exit_pain,none,none,wait
1769746140,exit_pain,call_sellers,call_buyers,caution
1770004440,exit_pain,none,none,wait
1770106200,exit_pain,call_sellers,put_buyers,caution
1770177000,exit_pain,none,none,wait
1770177060,exit_pain,none,none,wait
1770177180,exit_pain,call_sellers,put_buyers,caution
1770351300,exit_pain,call_sellers,put_buyers,caution
1770697260,exit_pain,none,none,wait
